year,round,driver,team,position,puntos_carrera,es_abandono
2005,1,FIS,Renault,1,25,False
2005,1,BAR,Ferrari,2,18,False
2005,1,ALO,Renault,3,15,False
2005,1,COU,Red Bull,4,12,False
2005,1,WEB,Williams,5,10,False
2005,1,MON,McLaren,6,8,False
2005,1,KLI,Red Bull,7,6,False
2005,1,RAI,McLaren,8,4,False
2005,1,TRU,Toyota,9,2,False
2005,1,MAS,Sauber,10,1,False
2005,1,SCH,Toyota,12,0,False
2005,1,VIL,Sauber,13,0,False
2005,1,KAR,Jordan,15,0,False
2005,1,TMO,Jordan,16,0,False
2005,1,FRI,Minardi,17,0,False
2005,1,BUT,BAR,999,0,True
2005,1,SAT,BAR,999,0,True
2005,1,MSC,Ferrari,999,0,True
2005,1,HEI,Williams,999,0,True
2005,1,ALB,Minardi,999,0,True
2005,2,ALO,Renault,1,25,False
2005,2,TRU,Toyota,2,18,False
2005,2,HEI,Williams,3,15,False
2005,2,MON,McLaren,4,12,False
2005,2,SCH,Toyota,5,10,False
2005,2,COU,Red Bull,6,8,False
2005,2,MSC,Ferrari,7,6,False
2005,2,KLI,Red Bull,8,4,False
2005,2,RAI,McLaren,9,2,False
2005,2,MAS,Sauber,10,1,False
2005,2,KAR,Jordan,11,0,False
2005,2,TMO,Jordan,12,0,False
2005,2,ALB,Minardi,13,0,False
2005,2,BAR,Ferrari,999,0,True
2005,2,FIS,Renault,999,0,True
2005,2,WEB,Williams,999,0,True
2005,2,VIL,Sauber,999,0,True
2005,2,BUT,BAR,999,0,True
2005,2,DAV,BAR,999,0,True
2005,2,FRI,Minardi,999,0,True
2005,3,ALO,Renault,1,25,False
2005,3,TRU,Toyota,2,18,False
2005,3,RAI,McLaren,3,15,False
2005,3,SCH,Toyota,4,12,False
2005,3,DLR,McLaren,5,10,False
2005,3,WEB,Williams,6,8,False
2005,3,MAS,Sauber,7,6,False
2005,3,COU,Red Bull,8,4,False
2005,3,BAR,Ferrari,9,2,False
2005,3,TMO,Jordan,10,1,False
2005,3,VIL,Sauber,11,0,False
2005,3,FRI,Minardi,12,0,False
2005,3,ALB,Minardi,13,0,False
2005,3,BUT,BAR,999,0,True
2005,3,SAT,BAR,999,0,True
2005,3,HEI,Williams,999,0,True
2005,3,MSC,Ferrari,999,0,True
2005,3,FIS,Renault,999,0,True
2005,3,KAR,Jordan,999,0,True
2005,3,KLI,Red Bull,999,0,True
2005,4,ALO,Renault,1,25,False
2005,4,MSC,Ferrari,2,18,False
2005,4,WUR,McLaren,3,15,False
2005,4,VIL,Sauber,4,12,False
2005,4,TRU,Toyota,5,10,False
2005,4,HEI,Williams,6,8,False
2005,4,WEB,Williams,7,6,False
2005,4,LIU,Red Bull,8,4,False
2005,4,SCH,Toyota,9,2,False
2005,4,MAS,Sauber,10,1,False
2005,4,COU,Red Bull,11,0,False
2005,4,KAR,Jordan,12,0,False
2005,4,TMO,Jordan,13,0,False
2005,4,BUT,BAR,999,0,True
2005,4,SAT,BAR,999,0,True
2005,4,ALB,Minardi,999,0,True
2005,4,BAR,Ferrari,999,0,True
2005,4,RAI,McLaren,999,0,True
2005,4,FRI,Minardi,999,0,True
2005,4,FIS,Renault,999,0,True
2005,5,RAI,McLaren,1,25,False
2005,5,ALO,Renault,2,18,False
2005,5,TRU,Toyota,3,15,False
2005,5,SCH,Toyota,4,12,False
2005,5,FIS,Renault,5,10,False
2005,5,WEB,Williams,6,8,False
2005,5,MON,McLaren,7,6,False
2005,5,COU,Red Bull,8,4,False
2005,5,BAR,Ferrari,9,2,False
2005,5,HEI,Williams,10,1,False
2005,5,MAS,Sauber,11,0,False
2005,5,TMO,Jordan,12,0,False
2005,5,KAR,Jordan,13,0,False
2005,5,VIL,Sauber,999,0,True
2005,5,MSC,Ferrari,999,0,True
2005,5,ALB,Minardi,999,0,True
