year,round,date,circuit_name,driver_code,driver_number,team_name,grid_position,classified_position,status,points_real
2000,1,2000-03-12 00:00:00+00:00,Australian Grand Prix,MSC,3,Ferrari,3.0,1,Finished,10.0
2000,1,2000-03-12 00:00:00+00:00,Australian Grand Prix,BAR,4,Ferrari,4.0,2,Finished,6.0
2000,1,2000-03-12 00:00:00+00:00,Australian Grand Prix,SCH,9,Williams,11.0,3,Finished,4.0
2000,1,2000-03-12 00:00:00+00:00,Australian Grand Prix,VIL,22,BAR,8.0,4,Finished,3.0
2000,1,2000-03-12 00:00:00+00:00,Australian Grand Prix,FIS,11,Benetton,9.0,5,Finished,2.0
2000,1,2000-03-12 00:00:00+00:00,Australian Grand Prix,ZON,23,BAR,16.0,6,Finished,1.0
2000,1,2000-03-12 00:00:00+00:00,Australian Grand Prix,WUR,12,Benetton,14.0,7,Finished,0.0
2000,1,2000-03-12 00:00:00+00:00,Australian Grand Prix,,20,Minardi,18.0,8,+1 Lap,0.0
2000,1,2000-03-12 00:00:00+00:00,Australian Grand Prix,HEI,15,Prost,15.0,9,+2 Laps,0.0
2000,1,2000-03-12 00:00:00+00:00,Australian Grand Prix,BUT,10,Williams,21.0,R,Engine,0.0
2000,1,2000-03-12 00:00:00+00:00,Australian Grand Prix,TRU,6,Jordan,6.0,R,Engine,0.0
2000,1,2000-03-12 00:00:00+00:00,Australian Grand Prix,COU,2,McLaren,2.0,R,Engine,0.0
2000,1,2000-03-12 00:00:00+00:00,Australian Grand Prix,DLR,18,Arrows,12.0,R,Suspension,0.0
2000,2,2000-03-26 00:00:00+00:00,Brazilian Grand Prix,MSC,3,Ferrari,3.0,1,Finished,10.0
2000,2,2000-03-26 00:00:00+00:00,Brazilian Grand Prix,FIS,11,Benetton,5.0,2,Finished,6.0
2000,2,2000-03-26 00:00:00+00:00,Brazilian Grand Prix,,5,Jordan,7.0,3,Finished,4.0
2000,2,2000-03-26 00:00:00+00:00,Brazilian Grand Prix,TRU,6,Jordan,12.0,4,Finished,3.0
2000,2,2000-03-26 00:00:00+00:00,Brazilian Grand Prix,SCH,9,Williams,11.0,5,+1 Lap,2.0
2000,2,2000-03-26 00:00:00+00:00,Brazilian Grand Prix,BUT,10,Williams,9.0,6,+1 Lap,1.0
2000,2,2000-03-26 00:00:00+00:00,Brazilian Grand Prix,DLR,18,Arrows,16.0,8,+1 Lap,0.0
2000,2,2000-03-26 00:00:00+00:00,Brazilian Grand Prix,ZON,23,BAR,8.0,9,+2 Laps,0.0
2000,2,2000-03-26 00:00:00+00:00,Brazilian Grand Prix,COU,2,McLaren,2.0,D,Disqualified,0.0
2000,2,2000-03-26 00:00:00+00:00,Brazilian Grand Prix,BAR,4,Ferrari,4.0,R,Hydraulics,0.0
2000,2,2000-03-26 00:00:00+00:00,Brazilian Grand Prix,VIL,22,BAR,10.0,R,Gearbox,0.0
2000,2,2000-03-26 00:00:00+00:00,Brazilian Grand Prix,HEI,15,Prost,19.0,R,Engine,0.0
2000,2,2000-03-26 00:00:00+00:00,Brazilian Grand Prix,WUR,12,Benetton,13.0,R,Engine,0.0
2000,3,2000-04-09 00:00:00+00:00,San Marino Grand Prix,MSC,3,Ferrari,2.0,1,Finished,10.0
2000,3,2000-04-09 00:00:00+00:00,San Marino Grand Prix,FIS,11,Benetton,19.0,11,+1 Lap,0.0
2000,3,2000-04-09 00:00:00+00:00,San Marino Grand Prix,ZON,23,BAR,14.0,12,+1 Lap,0.0
2000,3,2000-04-09 00:00:00+00:00,San Marino Grand Prix,TRU,6,Jordan,8.0,15,Gearbox,0.0
2000,3,2000-04-09 00:00:00+00:00,San Marino Grand Prix,,1,McLaren,1.0,2,Finished,6.0
2000,3,2000-04-09 00:00:00+00:00,San Marino Grand Prix,COU,2,McLaren,3.0,3,Finished,4.0
2000,3,2000-04-09 00:00:00+00:00,San Marino Grand Prix,BAR,4,Ferrari,4.0,4,Finished,3.0
2000,3,2000-04-09 00:00:00+00:00,San Marino Grand Prix,VIL,22,BAR,9.0,5,+1 Lap,2.0
2000,3,2000-04-09 00:00:00+00:00,San Marino Grand Prix,WUR,12,Benetton,11.0,9,+1 Lap,0.0
2000,3,2000-04-09 00:00:00+00:00,San Marino Grand Prix,DLR,18,Arrows,13.0,R,Spun off,0.0
